pair,loss,n,h,nw_lags,dm_raw,dm,p_norm,p_t,mean_diff,better
XGB_ES vs GBR_ES,mae,2470,1,8,-0.14152067157022136,-0.14149202076082354,0.8874812631399658,0.8874812631399658,-0.07037596726742458,XGB_ES
XGB_ES vs GBR_ES,mse,2470,1,8,-0.11960537532398931,-0.11958116125848679,0.9048149437620898,0.9048149437620898,-8.442518670319828,XGB_ES
XGB_ES vs SARIMAX,mae,2470,1,8,-13.43262417332707,-13.4299047433623,0.0,0.0,-11.82807148623189,XGB_ES
XGB_ES vs SARIMAX,mse,2470,1,8,-9.561019188757365,-9.5590835638385,0.0,0.0,-1147.9532576918734,XGB_ES
XGB_ES vs SARIMA,mae,2470,1,8,-26.18538741807878,-26.180086195751333,0.0,0.0,-84.88469879188385,XGB_ES
XGB_ES vs SARIMA,mse,2470,1,8,-18.592072485887666,-18.588308527455354,0.0,0.0,-16514.299437647296,XGB_ES
XGB_ES vs Seq2Seq,mae,2470,1,8,-2.2358449593217564,-2.23539231330855,0.02539160430883136,0.02539160430883136,-1.0721784650422237,XGB_ES
XGB_ES vs Seq2Seq,mse,2470,1,8,-1.7551251398993557,-1.7547698154418427,0.07929868860374434,0.07929868860374434,-102.8594851854108,XGB_ES
XGB_ES vs TiDE,mae,2470,1,8,2.4749113126719826,2.4744102677609523,0.01334563413683365,0.01334563413683365,1.8011793715335054,TiDE
XGB_ES vs TiDE,mse,2470,1,8,1.810817921450899,1.8104513220096585,0.07022582663499755,0.07022582663499755,171.08827063152015,TiDE
XGB_ES vs Transformer,mae,2470,1,8,-5.276730989735508,-5.275662717431873,1.3227717987618348e-07,1.3227717987618348e-07,-2.6591873944506963,XGB_ES
XGB_ES vs Transformer,mse,2470,1,8,-4.221489410378886,-4.22063477135598,2.4361535940986556e-05,2.4361535940986556e-05,-225.3297837841134,XGB_ES
XGB_ES vs AutoML,mae,2470,1,8,-8.5480801958546,-8.546349640072952,0.0,0.0,-6.43537159967696,XGB_ES
XGB_ES vs AutoML,mse,2470,1,8,-3.268820990537335,-3.2681592188956636,0.0010824945019640708,0.0010824945019640708,-825.6202180200679,XGB_ES
GBR_ES vs SARIMAX,mae,2470,1,8,-14.78573890120105,-14.782745533643054,0.0,0.0,-11.757695518964464,GBR_ES
GBR_ES vs SARIMAX,mse,2470,1,8,-11.7593426570155,-11.756961982295888,0.0,0.0,-1139.5107390215537,GBR_ES
GBR_ES vs SARIMA,mae,2470,1,8,-26.45596305077803,-26.450607050510413,0.0,0.0,-84.81432282461641,GBR_ES
GBR_ES vs SARIMA,mse,2470,1,8,-18.482915802804445,-18.47917394310362,0.0,0.0,-16505.856918976977,GBR_ES
GBR_ES vs Seq2Seq,mae,2470,1,8,-1.5440212620741984,-1.5437086755213294,0.12265892366204323,0.12265892366204323,-1.001802497774799,GBR_ES
GBR_ES vs Seq2Seq,mse,2470,1,8,-1.0146892240030896,-1.0144838005322117,0.31035195541040084,0.31035195541040084,-94.41696651509099,GBR_ES
GBR_ES vs TiDE,mae,2470,1,8,4.017557134333921,4.016743781327442,5.9007819050993504e-05,5.9007819050993504e-05,1.8715553388009296,TiDE
GBR_ES vs TiDE,mse,2470,1,8,4.158085046190324,4.157243243358296,3.221109731987859e-05,3.221109731987859e-05,179.53078930184006,TiDE
GBR_ES vs Transformer,mae,2470,1,8,-4.56347907531658,-4.562555200608192,5.053480121475218e-06,5.053480121475218e-06,-2.588811427183271,GBR_ES
GBR_ES vs Transformer,mse,2470,1,8,-2.767217296229182,-2.766657074076214,0.005663429453817148,0.005663429453817148,-216.88726511379352,GBR_ES
GBR_ES vs AutoML,mae,2470,1,8,-7.6563050798481305,-7.65475506362011,1.9317880628477724e-14,1.9317880628477724e-14,-6.364995632409536,GBR_ES
