Seq2Seq_feature,﻿Seq2Seq_importance,TiDE_feature,TiDE_importance,AutoML_feature,AutoML_importance
price_over_load,28.71,price_minus_norm_load,40.185,price_minus_norm_load,28.936
price_minus_norm_load,26.795,price_over_load,36.103,price_over_load,28.843
price_x_imbalance,26.742,solar_share,29.161,price_x_imbalance,28.828
imbalance_ratio,24.599,price_x_imbalance,28.265,cos24,27.446
solar_share,23.877,pl_produkcja_slonce,24.451,pl_produkcja_wegiel_kamienny,19.179
cena_wegla_pln_t,22.865,pl_produkcja_wegiel_kamienny,18.007,pl_produkcja_wegiel_brunatny,17.311
pl_produkcja_slonce,20.165,cos24,16.426,sin24,10.089
pl_produkcja_wegiel_kamienny,20.154,pl_produkcja_wegiel_brunatny,14.952,fixing_i_volume,8.759
wind_share,17.143,imbalance_ratio,12.748,generacja_zrodel_fotowoltaicznych,8.725
pl_produkcja_wegiel_brunatny,16.551,wind_share,10.352,pl_produkcja_woda_szczytyowo_pompowe,8.656
pl_produkcja_wiatr,13.049,fixing_i_volume,9.585,imbalance_ratio,8.512
cos24,12.869,sin24,9.397,fixing_i_price_roll24_min,7.999
fixing_i_volume,11.153,promieniowanie_rozporoszone,5.786,pl_produkcja_woda_zbiornikowe,6.481
sin24,9.933,pl_produkcja_gaz,4.754,cena_wegla_pln_t,6.332
day_of_week,7.619,hour,4.422,sumaryczna_generacja_JGMa,5.935
generacja_zrodel_fotowoltaicznych,7.102,cena_wegla_pln_t,4.238,zapotrzebowanie_na_moc,5.891
sys_margin_MW,6.881,pl_produkcja_wiatr,4.136,fixing_i_price_roll24_mean,5.393
quarter,6.654,inflacja_vs_poprzedni_rok,4.072,promieniowanie_bezposrednie,5.389
kurs_eur_pln,6.261,co2_cena,3.891,sumaryczna_generacja_JGxx,4.699
d_price_1h,6.176,zapotrzebowanie_na_moc,3.531,gaz_cena,4.607
