model,HorizonHours,MAE,RMSE,MAPE,RMSLE,R2
Transformer,24,18.267,23.522,3.05,0.036713,0.955722
TiDE,24,19.387495,25.761772,3.416867,0.045097,0.930973
AutoML,24,25.472090,29.465734,4.776443,0.054866,0.910710
Seq2Seq,24,25.040246,30.429392,4.558050,0.054543,0.903460
TiDE,168,27.650877,39.318206,1503.11,0.396518,0.956705
Transformer,168,32.016109,41.603687,4929.870260,0.738483,0.952018
Seq2Seq,168,38.777137,51.877247,8838.57,0.760849,0.927387
AutoML,168,43.127955,61.718475,8960.192865,0.772792,0.897771
TiDE,336,28.090093,41.383686,757.365121,0.321084,0.938927
Transformer,336,35.027,47.095,2429.25,0.726450,0.962467
Seq2Seq,336,35.242747,49.741713,4429.192266,0.573448,0.917585
AutoML,336,38.371973,56.990635,4489.271184,0.580230,0.892259
TiDE,744,26.265197,38.191296,332.001347,0.202196,0.941580
Transformer,744,35.776,47,004,1321,75,0.685996,0.940660
Seq2Seq,744,29.409071,41.201191,1926.354577,0.322527,0.934544
AutoML,744,34.553748,49.064432,1953.467106,0.338781,0.906837
