model,HorizonHours,MAE,RMSE,MAPE,RMSLE,R2
XGB,24,17.854001892089848,22.583701523398386,3.3586068016074933,0.04247700851078564,0.9424650567181715
GBR,24,19.44825917498263,25.261807466033112,3.59802677616112,0.046807261580149806,0.9290834343203691
SARIMAX,24,21.7314331302107,28.147374829393762,4.2059542101146254,0.0536200312866425,0.9038149061969014
SARIMA,24,63.9910452058319,76.18216501375349,12.17979187251853,0.14170661542101087,0.1708626798125974
XGB,168,25.394562487352466,37.56900171122101,1809.5454445422117,0.4934487652241657,0.9485653621837471
GBR,168,27.294260810890542,39.607055589545986,1351.896335811679,0.4594264507411731,0.9445747369099265
SARIMAX,168,31.92883034229439,43.01954998023545,1978.7132395242522,0.40114200072316636,0.9333128303688507
SARIMA,168,147.23074952646098,190.5342685258782,20230.354322124018,0.9989885943537098,-0.20568646268693636
XGB,336,25.73027596573977,37.20061450333115,1605.6907439071847,0.3517639065911262,0.9445157235050334
GBR,336,26.804665614432402,39.040101516745395,832.5310148956562,0.32260017253498185,0.9378764549476168
SARIMAX,336,36.067046455387775,46.79177608371523,364.9673738628719,0.28943528940058727,0.9087886827202178
SARIMA,336,115.04420583484189,152.1649400901575,10618.608652963672,0.6817694145098401,0.09517936025597713
XGB,744,26.285430713413014,37.22904193623945,802.4268654093466,0.2885783675565657,0.946829266583849
GBR,744,27.579288687159487,39.30080909048574,463.05687037507676,0.27234145248391617,0.9398010146182265
SARIMAX,744,34.925597700272654,45.69291025961055,288.7086769516715,0.26780191292782907,0.9187684341706926
SARIMA,744,197.84992115859558,235.92781857999995,5053.059555559647,0.6928434977732145,-2.7328417632638926
