pair,loss,winner,mean_diff,effect,dm,p_t,sig,delta_abs,delta_pct_vs_ref,ref_loss,nw_lags,n,h
SARIMA vs TiDE,MAE,TiDE,86.6859,86.69 (328.2%),27.1414,0.0,***,86.6859,328.2141,26.4114,8,2470,1
XGB vs SARIMA,MAE,XGB,-84.8847,84.88 (75.1%),-26.1801,0.0,***,84.8847,75.0546,113.0973,8,2470,1
GBR vs SARIMA,MAE,GBR,-84.8143,84.81 (75.0%),-26.4506,0.0,***,84.8143,74.9924,113.0973,8,2470,1
SARIMA vs Seq2Seq,MAE,Seq2Seq,83.8125,83.81 (286.2%),26.3438,0.0,***,83.8125,286.1986,29.2847,8,2470,1
SARIMA vs Transformer,MAE,Transformer,82.2255,82.23 (266.3%),25.1826,0.0,***,82.2255,266.3455,30.8717,8,2470,1
SARIMA vs AutoML,MAE,AutoML,78.4493,78.45 (226.4%),24.0405,0.0,***,78.4493,226.4185,34.6479,8,2470,1
SARIMA vs SARIMAX,MAE,SARIMAX,76.446,76.45 (208.6%),23.6141,0.0,***,76.446,208.5766,36.6513,8,2470,1
SARIMAX vs TiDE,MAE,TiDE,10.2399,10.24 (38.8%),13.632,0.0,***,10.2399,38.7708,26.4114,8,2470,1
XGB vs SARIMAX,MAE,XGB,-8.4387,8.44 (23.0%),-8.334,0.0,***,8.4387,23.0243,36.6513,8,2470,1
GBR vs SARIMAX,MAE,GBR,-8.3683,8.37 (22.8%),-9.6387,0.0,***,8.3683,22.8323,36.6513,8,2470,1
TiDE vs AutoML,MAE,TiDE,-8.2366,8.24 (23.8%),-8.5219,0.0,***,8.2366,23.7721,34.6479,8,2470,1
XGB vs AutoML,MAE,XGB,-6.4354,6.44 (18.6%),-8.5463,0.0,***,6.4354,18.5736,34.6479,8,2470,1
Seq2Seq vs AutoML,MAE,Seq2Seq,-5.3632,5.36 (15.5%),-7.9928,0.0,***,5.3632,15.4791,34.6479,8,2470,1
GBR vs AutoML,MAE,GBR,-6.365,6.36 (18.4%),-7.6548,0.0,***,6.365,18.3705,34.6479,8,2470,1
SARIMAX vs Seq2Seq,MAE,Seq2Seq,7.3665,7.37 (25.2%),6.7868,0.0,***,7.3665,25.1549,29.2847,8,2470,1
TiDE vs Transformer,MAE,TiDE,-4.4604,4.46 (14.4%),-5.5101,0.0,***,4.4604,14.4481,30.8717,8,2470,1
