feature,borda,wborda,rrf,mean_rank,median_rank,models_count,models_frac,borda_norm,wborda_norm,rrf_norm,final_score
price_minus_norm_load,120,28.57142857142857,0.025167145123517413,3.857142857142857,1.0,7,1.0,1.0,1.0,1.0,1.0
price_over_load,110,25.182068083098336,0.02432904303936583,5.285714285714286,2.0,7,1.0,0.9159663865546218,0.8807762642295898,0.964155226856496,0.922465745543043
pl_produkcja_wegiel_kamienny,86,18.670816324675545,0.022759727910283255,8.714285714285714,8.0,7,1.0,0.7142857142857143,0.6517372576519037,0.8970372159884312,0.7743872368201674
pl_produkcja_slonce,73,17.481444027117007,0.020841769882522364,8.833333333333334,7.0,6,0.8571428571428571,0.6050420168067226,0.6099000411548696,0.8150081031823861,0.7124540721686279
pl_produkcja_wegiel_brunatny,76,15.52948206436402,0.022145154156195217,10.142857142857142,10.0,7,1.0,0.6302521008403361,0.5412380625655686,0.8707525220211828,0.7059952922933757
sin24,77,18.8033839483998,0.0193876972660746,8.166666666666666,9.0,6,0.8571428571428571,0.6386554621848739,0.656400440395973,0.7528188972892713,0.7046096688426222
wind_share,65,15.425835861748071,0.02046381666129749,10.166666666666666,9.5,6,0.8571428571428571,0.5378151260504201,0.5375922162423945,0.7988434285802744,0.6682178224113344
cos24,75,18.095175002761163,0.017498887825700873,6.0,4.0,5,0.7142857142857143,0.6218487394957983,0.6314885679363224,0.6720364398992001,0.6517625039177612
price_x_imbalance,80,16.20427616321143,0.018240110319913013,7.666666666666667,4.5,6,0.8571428571428571,0.6638655462184874,0.5649745384044221,0.7037377715821924,0.6343561549933072
zapotrzebowanie_na_moc,47,13.12674059292651,0.020053595094335047,13.166666666666666,15.5,6,0.8571428571428571,0.3865546218487395,0.45671951834414865,0.78129866967274,0.6190090940084443
solar_share,75,15.925495433270925,0.016099044750477427,6.0,6.0,5,0.7142857142857143,0.6218487394957983,0.5551681810698316,0.6121665762910168,0.5836673786804242
pl_produkcja_gaz,49,12.318553020575914,0.018030960316862334,11.2,13.0,5,0.7142857142857143,0.40336134453781514,0.428290809769002,0.6947926388184384,0.5615417242937202
