feature,borda,wborda,rrf,mean_rank,median_rank,models_count,models_frac,borda_norm,wborda_norm,rrf_norm,final_score
price_minus_norm_load,120,17.556715180363476,0.015883901020381865,3.857142857142857,1.0,7,1.0,1.0,1.0,1.0,1.0
price_over_load,110,16.104888739155754,0.015517596231724417,5.285714285714286,2.0,7,1.0,0.9159663865546218,0.916669207544466,0.9744757836807417,0.9455724956126039
pl_produkcja_wegiel_kamienny,86,12.431615873638314,0.014604061316654215,8.714285714285714,8.0,7,1.0,0.7142857142857143,0.7058335800197684,0.9108204247843764,0.8083270024020723
pl_produkcja_wegiel_brunatny,76,10.876055062127056,0.014288423807515188,10.142857142857142,10.0,7,1.0,0.6302521008403361,0.6165487237471582,0.8888267181466225,0.7526877209468903
price_x_imbalance,80,11.943089164276524,0.012873715401040531,7.666666666666667,4.5,6,0.8571428571428571,0.6638655462184874,0.6777935080997751,0.7902494554035462,0.7340214817516606
sin24,77,11.190707926533062,0.012933412626645243,8.166666666666666,9.0,6,0.8571428571428571,0.6386554621848739,0.6346089214368658,0.7944091741601009,0.7145090477984833
pl_produkcja_slonce,73,10.765345138821461,0.012669376323327479,8.833333333333334,7.0,6,0.8571428571428571,0.6050420168067226,0.6101942826239669,0.7760110534401389,0.6931026680320529
cos24,75,11.295131112613152,0.011496179644794605,6.0,4.0,5,0.7142857142857143,0.6218487394957983,0.6406025213602471,0.6942623929389748,0.667432457149611
wind_share,65,9.37022619222978,0.012384909829426154,10.166666666666666,9.5,6,0.8571428571428571,0.5378151260504201,0.5301183423535134,0.7561893515384792,0.6431538469459963
solar_share,75,10.91148548659848,0.010871385335738433,6.0,6.0,5,0.7142857142857143,0.6218487394957983,0.618582331390909,0.6507265572272977,0.6346544443091033
imbalance_ratio,55,8.264776753412042,0.012077792080459325,11.833333333333334,11.5,6,0.8571428571428571,0.453781512605042,0.46666862471400145,0.7347893040838891,0.6007289643989453
zapotrzebowanie_na_moc,47,6.312370628844043,0.011648606822886409,13.166666666666666,15.5,6,0.8571428571428571,0.3865546218487395,0.3546059532145425,0.7048835597569374,0.5297447564857399
pl_produkcja_wiatr,51,7.097157771827925,0.010212091815669778,10.8,11.0,5,0.7142857142857143,0.42016806722689076,0.39965054854465654,0.6047868072016589,0.5022186778731577
pl_produkcja_gaz,49,6.885434999471369,0.010057725997270936,11.2,13.0,5,0.7142857142857143,0.40336134453781514,0.38749825134122645,0.5940305554050275,0.490764403373127
fixing_i_volume,40,5.962017344497196,0.010135576315070954,13.0,13.0,5,0.7142857142857143,0.3277310924369748,0.3344966508934363,0.5994551865143655,0.46697591870390087
sumaryczna_generacja_JGMa,41,5.418688934344236,0.007772553955695285,10.75,11.0,4,0.5714285714285714,0.33613445378151263,0.3033111140437368,0.434799152152904,0.3690551330983204
generacja_zrodel_fotowoltaicznych,36,4.924302013551287,0.007604611759516061,12.0,12.0,4,0.5714285714285714,0.29411764705882354,0.2749346823160869,0.4230968946964271,0.34901578850625703
hour,30,4.559269052324776,0.006683182112232925,11.0,14.0,3,0.42857142857142855,0.24369747899159663,0.25398280744453455,0.3588914287334191,0.30643711808897683
cena_wegla_pln_t,27,4.08074356609822,0.0064541897991844425,12.0,14.0,3,0.42857142857142855,0.2184873949579832,0.22651677786578042,0.34293518269274115,0.28472598027926077
promieniowanie_rozporoszone,23,3.6358719074137396,0.006475961348919073,13.333333333333334,13.0,3,0.42857142857142855,0.18487394957983194,0.20098238421722064,0.3444522301413124,0.2727173071792665
sys_margin_MW,15,1.9592928749752436,0.005544204147312632,16.0,17.0,3,0.42857142857142855,0.11764705882352941,0.1047514192602716,0.27952713741185375,0.19213927833606267
day_of_week,11,1.5203665400601218,0.0053305033490009925,17.333333333333332,17.0,3,0.42857142857142855,0.08403361344537816,0.07955827063042992,0.26463640823603257,0.17209733943323124
std_6h,25,3.1440396234088768,0.003836049463839755,8.5,8.5,2,0.2857142857142857,0.20168067226890757,0.1727525815231419,0.16050245906267716,0.16662752029290953
fixing_i_price_roll24_min,22,2.7781263631119173,0.003640523368341109,10.0,10.0,2,0.2857142857142857,0.17647058823529413,0.15175017993775086,0.1468781480732993,0.14931416400552508
cos168,19,2.3986613522197526,0.003665861152991938,11.5,11.5,2,0.2857142857142857,0.15126050420168066,0.12996994562786499,0.14864369173121564,0.1393068186795403
sumaryczna_generacja_JGxx,19,2.321252428905532,0.0035862683983425223,11.5,11.5,2,0.2857142857142857,0.15126050420168066,0.12552688911655244,0.14309764715297468,0.13431226813476355
d_price_1h,8,1.1405308814879431,0.003777385367039914,17.0,17.0,2,0.2857142857142857,0.058823529411764705,0.05775676217645856,0.1564147289994665,0.10708574558796254
sumaryczna_generacja_jednostek_nieuczestniczacych,20,2.414963643137945,0.001979478396014709,1.0,1.0,1,0.14285714285714285,0.15966386554621848,0.13090565170298202,0.0311360870834194,0.0810208693932007
rezerwa_mocy_ponad_zapotrzebowanie,3,0.4255439990242008,0.0034404765793138673,19.5,19.5,2,0.2857142857142857,0.01680672268907563,0.01671850731353389,0.1329388339414295,0.07482867062748169
predkosc_wiatru,16,1.931970914510356,0.0018576643408753425,5.0,5.0,1,0.14285714285714285,0.12605042016806722,0.10318321485762695,0.022648050916873833,0.0629156328872504
suma_zdolnosci_wytworczych_JGMa,11,1.5580109644510196,0.002023390862923402,10.0,10.0,1,0.14285714285714285,0.08403361344537816,0.08171895570062085,0.03419591960321181,0.05795743765191633
